iter	MultiClass
0	1.538047036
1	1.484426852
2	1.434554748
3	1.39301793
4	1.356632649
5	1.331919617
6	1.305035101
7	1.276122314
8	1.255112612
9	1.236082851
10	1.218134772
11	1.201854435
12	1.184355378
13	1.167637639
14	1.151077308
15	1.137399851
16	1.126005453
17	1.114296353
18	1.10257034
19	1.092025497
20	1.086358346
21	1.07484031
22	1.067284162
23	1.05850635
24	1.051914929
25	1.045533262
26	1.038316133
27	1.032110488
28	1.02657908
29	1.020840891
30	1.017098229
31	1.009974099
32	1.003516427
33	0.998870045
34	0.9928538771
35	0.9872238214
36	0.9828250637
37	0.9776000201
38	0.9704541917
39	0.9669446585
40	0.9635936146
41	0.9600830993
42	0.9563511791
43	0.9537587724
44	0.9508660484
45	0.9475424538
46	0.9436558979
47	0.9393017963
48	0.9342614185
49	0.9315149211
50	0.9296407485
51	0.9272668057
52	0.9233103912
53	0.9211059204
54	0.9188395936
55	0.9163057193
56	0.9135078612
57	0.9109856272
58	0.9098391245
59	0.9069458224
60	0.905041581
61	0.903131827
62	0.901744662
63	0.9004643022
64	0.8997548844
65	0.8986020575
66	0.8965999248
67	0.8936810863
68	0.890990837
69	0.8899119883
70	0.8866694752
71	0.8847023467
72	0.8832033908
73	0.8818053992
74	0.8791206769
75	0.876951044
76	0.8762276145
77	0.8746738174
78	0.873242275
79	0.8719845519
80	0.8703197283
81	0.8693659455
82	0.8681221411
83	0.8670108272
84	0.8661009098
85	0.8647186428
86	0.8637720737
87	0.8626103802
88	0.8620510629
89	0.8614807619
90	0.8606752674
91	0.8591118167
92	0.857894011
93	0.8571718853
94	0.8558457292
95	0.8548246055
96	0.8528098074
97	0.8509927683
98	0.8494148349
99	0.8490975883
100	0.848368563
101	0.847684499
102	0.8467356876
103	0.8451853723
104	0.8441409028
105	0.8430851601
106	0.8406594244
107	0.8398879022
108	0.8388529489
109	0.8375296091
110	0.8359700891
111	0.8333596206
112	0.83175972
113	0.8312674238
114	0.8282813204
115	0.8271318844
116	0.8258972049
117	0.824694018
118	0.8235362603
119	0.8232285569
120	0.8223654728
121	0.821228723
122	0.8193134103
123	0.8188314392
124	0.8182025544
125	0.8164664491
126	0.8152396702
127	0.813800611
128	0.8122683501
129	0.810521763
130	0.8089635958
131	0.8083321703
132	0.8082397117
133	0.8078511052
134	0.8064325946
135	0.805444272
136	0.8051312181
137	0.8048246189
138	0.8040670624
139	0.8031175493
140	0.8024128959
141	0.8014959474
142	0.8012294416
143	0.7994936747
144	0.79864039
145	0.7984364692
146	0.7975003426
147	0.7972441466
148	0.7966058189
149	0.7957437814
150	0.7941687206
151	0.7935121697
152	0.7927751998
153	0.7912279828
154	0.7904254549
155	0.7899526611
156	0.7894527828
157	0.7882124049
158	0.787141489
159	0.7869269041
160	0.7865982265
161	0.7859014197
162	0.7845899794
163	0.784375756
164	0.7834317988
165	0.7824732276
166	0.7820736322
167	0.7809858886
168	0.7808741561
169	0.7806274853
170	0.7798674875
171	0.7794805675
172	0.7785351213
173	0.7783395333
174	0.7775843437
