iter	Passed	Remaining
0	2577	2574777
1	4544	2267791
2	5773	1918879
3	7051	1755725
4	8131	1618204
5	9245	1531610
6	10271	1457023
7	11392	1412658
8	12420	1367648
9	13463	1332917
10	14499	1303671
11	15551	1280422
12	16581	1258881
13	17613	1240459
14	18758	1231826
15	19788	1216996
16	20820	1203930
17	21854	1192308
18	22954	1185194
19	24079	1179897
20	25094	1169884
21	26122	1161261
22	27140	1152896
23	28273	1149794
24	29300	1142715
25	30355	1137178
26	31387	1131103
27	32428	1125738
28	33446	1119877
29	34480	1114865
30	35498	1109609
31	36628	1108025
32	37789	1107354
33	38830	1103240
34	39881	1099587
35	40975	1097231
36	42017	1093577
37	43067	1090275
38	44135	1087546
39	45182	1084369
40	46342	1083958
41	47396	1081093
42	48475	1078854
43	49523	1076008
44	50569	1073198
45	51707	1072376
46	52830	1071226
47	53986	1070736
48	55029	1068015
49	56067	1065284
50	57098	1062486
51	58127	1059700
52	59249	1058663
53	60269	1055840
54	61302	1053289
55	62471	1053083
56	63505	1050620
57	64571	1048736
58	65604	1046342
59	66643	1044078
60	67821	1043999
61	68888	1042213
62	69910	1039774
63	70960	1037798
64	72021	1036005
65	73179	1035606
66	74229	1033678
67	75358	1032858
68	76402	1030884
69	77437	1028819
70	78571	1028070
71	79704	1027300
72	80744	1025341
73	81833	1024023
74	82879	1022181
75	83937	1020499
76	84986	1018728
77	86040	1017045
78	87093	1015356
79	88124	1013428
80	89149	1011458
81	90284	1010746
82	91309	1008802
83	92345	1007005
84	93354	1004938
85	94380	1003072
86	95444	1001623
87	96493	1000022
88	97500	998006
89	98509	996036
90	99512	994034
91	100606	992945
92	101618	991056
93	102618	989066
94	103627	987188
95	104632	985290
96	105728	984252
97	106740	982451
98	107750	980634
99	108751	978761
100	109752	976902
101	110770	975217
102	111810	973728
103	112845	972210
104	113865	970569
105	114886	968949
106	116100	968952
107	117268	968547
108	118332	967283
109	119478	966686
110	120617	966027
111	121745	965270
112	122783	963796
113	123815	962287
114	124877	961010
115	125911	959533
116	126992	958411
117	128009	956814
118	129024	955211
119	130030	953558
120	131044	951967
121	132133	950926
122	133245	950053
123	134258	948473
124	135289	947026
125	136335	945691
126	137368	944274
127	138385	942750
128	139491	941836
129	140618	941059
130	141633	939540
131	142635	937936
132	143655	936463
133	144664	934920
134	145667	933353
135	146668	931776
136	147686	930316
137	148723	928981
138	149719	927397
139	150734	925942
140	151831	924988
141	152878	923728
142	153965	922716
143	155274	923022
144	156317	921733
145	157327	920255
146	158479	919613
147	159484	918115
148	160482	916580
149	161484	915076
150	162576	914090
151	163592	912675
152	164617	911313
153	165666	910091
154	166670	908622
155	167671	907144
156	168668	905654
157	169688	904289
158	170777	903292
159	171777	901831
160	172782	900399
161	173783	898952
162	174877	897988
163	175879	896555
164	176881	895129
165	177904	893809
166	178895	892336
167	179924	891057
168	180920	889616
169	181916	888181
170	182993	887145
171	183996	885749
172	185119	884934
173	186217	883998
